Year,Primary
1533,84.56950784
1534,84.55587029
1535,84.54223871
1536,84.528476
1537,84.51484442
1538,84.50109959
1539,84.48727727
1540,84.47366953
1541,84.4599843
1542,84.446311
1543,84.43254828
1544,84.41880345
1545,84.40505862
1546,84.39130783
1547,84.37742591
1548,84.36369896
1549,84.34982896
1550,84.3359828
1551,84.32217836
1552,84.3083024
1553,84.29443836
1554,84.28064585
1555,84.26669836
1556,84.25280452
1557,84.23905969
1558,84.22536254
1559,84.21168923
1560,84.19781327
1561,84.18421745
1562,84.17019248
1563,84.1562748
1564,84.1424644
1565,84.1286242
1566,84.11494493
1567,84.10127759
1568,84.08746123
1569,84.0737164
1570,84.06019211
1571,84.04643536
1572,84.03273821
1573,84.01910663
1574,84.00538564
1575,83.99174213
1576,83.97801518
1577,83.96419287
1578,83.95041823
1579,83.93664956
1580,83.92264843
1581,83.90875459
1582,83.89473557
1583,83.88062716
1584,83.86654854
1585,83.85255933
1586,83.83836746
1587,83.82406831
1588,83.80955458
1589,83.79507661
1590,83.780545
1591,83.76594186
1592,83.75109434
1593,83.73619914
1594,83.7213695
1595,83.70624781
1596,83.69089961
1597,83.67539644
1598,83.65943432
1599,83.64332318
1600,83.62672925
1601,83.60648155
1602,83.58627558
1603,83.56608748
1604,83.54585767
1605,83.52539539
1606,83.50496888
1607,83.4847331
1608,83.4643662
1609,83.44401717
1610,83.42348337
1611,83.40296149
1612,83.38267803
1613,83.36241245
1614,83.34211111
1615,83.32167268
1616,83.30132365
1617,83.28084946
1618,83.260566
1619,83.24013352
1620,83.21965933
1621,83.19920301
1622,83.17877054
1623,83.15836191
1624,83.13800693
1625,83.11750889
1626,83.09695125
1627,83.07628632
1628,83.05563927
1629,83.03524852
1630,83.01458955
1631,82.99416304
1632,82.97356963
1633,82.95310736
1634,82.93254972
1635,82.91186094
1636,82.89109468
1637,82.87049532
1638,82.84995556
1639,82.82943368
1640,82.8088522
1641,82.78812766
1642,82.76745677
1643,82.74690509
1644,82.72609711
1645,82.70545602
1646,82.68497586
1647,82.66427517
1648,82.643646
1649,82.62295723
1650,82.60218501
1651,82.58128762
1652,82.56065845
1653,82.53994584
1654,82.51946568
1655,82.49897957
1656,82.47861862
1657,82.45842457
1658,82.43830204
1659,82.41855502
1660,82.39859939
1661,82.37882257
1662,82.3589623
1663,82.33923316
1664,82.31956959
1665,82.29999542
1666,82.27993846
1667,82.26020336
1668,82.24027753
1669,82.22057223
1670,82.20084906
1671,82.1810782
1672,82.1614325
1673,82.14199543
1674,82.12262988
1675,82.10323453
1676,82.08388686
1677,82.0646584
1678,82.04512
1679,82.02582598
1680,82.00652599
1681,81.98733926
1682,81.96792006
1683,81.9488585
1684,81.92985058
1685,81.91078901
1686,81.89164996
1687,81.87251687
1688,81.85343146
1689,81.83460236
1690,81.81567192
1691,81.79520965
1692,81.77515864
1693,81.75489306
1694,81.73475862
1695,81.71447515
1696,81.69437647
1697,81.67437911
1698,81.65427446
1699,81.63397312
1700,81.61386251
1701,81.58275485
1702,81.5510869
1703,81.51955009
1704,81.48777485
1705,81.4560771
1706,81.42441511
1707,81.39280081
1708,81.36107326
1709,81.32911921
1710,81.29714727
1711,81.26269579
1712,81.22851849
1713,81.19421601
1714,81.15976453
1715,81.12532496
1716,81.09071255
1717,81.05626106
1718,81.02152348
1719,80.98677993
1720,80.95208406
1721,80.92004061
1722,80.88802695
1723,80.85560203
1724,80.82345128
1725,80.79112768
1726,80.75892925
1727,80.72634339
1728,80.693537
1729,80.66114187
1730,80.62840104
1731,80.59263825
1732,80.55595756
1733,80.51829934
1734,80.48096895
1735,80.44369221
1736,80.40633202
1737,80.36860824
1738,80.33121824
1739,80.29369116
1740,80.25611043
1741,80.21117449
1742,80.16617894
1743,80.12107611
